sample_id,area,pred_area,iou,baseline_SAD,flip_SAD,ttagf_SAD,bsp_SAD,sad_gain,smooth_gain,bsp_gain,score,image_path,gt_path,baseline_alpha,flip_alpha,ttagf_alpha
0069_0,0.12260440233785821,0.1219845871040724,0.9906398649685438,3.3268351554870605,3.113490343093872,3.0454704761505127,3.0454704761505127,0.28136467933654785,0.06801986694335938,0.0,6.9459057669473445,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0069.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0069_0.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0069_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0069_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0069_0/alpha.png
0044_2,0.13778762975778547,0.1378489042675894,0.9983467446199517,2.3034353256225586,1.9620115756988525,1.8960705995559692,1.8960567712783813,0.40736472606658936,0.0659409761428833,1.3828277587890625e-05,6.7410506004505715,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0044.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0044_2.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0044_2/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0044_2/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0044_2/alpha.png
0008_0,0.09697134015848227,0.09672985713459425,0.9930295444654806,2.5101566314697266,2.2046117782592773,2.2570745944976807,2.2570745944976807,0.2530820369720459,-0.05246281623840332,0.0,6.6015832879265375,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0008.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0008_0.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0008_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0008_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0008_0/alpha.png
0041_2,0.1519260801665799,0.15172472381282898,0.9967314279737468,3.0906782150268555,2.8147802352905273,2.767509698867798,2.767509698867798,0.3231685161590576,0.04727053642272949,0.0,6.486863392336339,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0041.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0041_2.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0041_2/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0041_2/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0041_2/alpha.png
0032_1,0.09145663427612934,0.09214601769911504,0.9869451084256278,3.744082450866699,3.4468276500701904,3.472446918487549,3.472446918487549,0.2716355323791504,-0.0256192684173584,0.0,6.48073362265396,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0032.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0032_1.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0032_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0032_1/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0032_1/alpha.png
0007_0,0.08419298397825206,0.0843867487998149,0.9790774558525831,5.852937698364258,5.58988618850708,5.566341400146484,5.566341400146484,0.28659629821777344,0.023544788360595703,0.0,6.326240340429991,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0007.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/fine/0007_0.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0007_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0007_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0007_0/alpha.png
0046_5,0.07522196194111863,0.07561889062409624,0.9914474029600003,2.016172409057617,2.0325920581817627,1.931870460510254,1.9310768842697144,0.08430194854736328,0.10072159767150879,0.0007935762405395508,6.237824855903402,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0046.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0046_5.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0046_5/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0046_5/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0046_5/alpha.png
0044_101,0.05530060553633218,0.05536788735101884,0.9963935065779492,6.762905120849609,4.102356433868408,3.954113721847534,3.9541125297546387,2.808791399002075,0.14824271202087402,1.1920928955078125e-06,6.157996146152956,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0044.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0044_101.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0044_101/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0044_101/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0044_101/alpha.png
0058_23,0.06814846144947655,0.06857503325814102,0.9908513796624802,2.216886281967163,2.0911803245544434,1.9854744672775269,1.9854744672775269,0.23141181468963623,0.1057058572769165,0.0,6.129718705767564,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0058.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0058_23.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0058_23/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0058_23/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0058_23/alpha.png
0085_0,0.17232994967898663,0.17197820868760483,0.9909341371439083,4.728227615356445,4.561235427856445,4.616160869598389,4.616160869598389,0.11206674575805664,-0.05492544174194336,0.0,6.091470197397076,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0085.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0085_0.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0085_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0085_0/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0085_0/alpha.png
0041_6,0.06458875585632483,0.06480674128058303,0.993211901168845,1.522686243057251,1.1816391944885254,1.2448234558105469,1.2448234558105469,0.2778627872467041,-0.06318426132202148,0.0,6.064767793096042,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0041.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0041_6.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0041_6/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0041_6/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0041_6/alpha.png
0058_4,0.06797602521834692,0.06899979755914165,0.9825866742012788,3.451486349105835,3.5057213306427,3.4266552925109863,3.4266552925109863,0.024831056594848633,0.07906603813171387,0.0,6.06366681679944,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0058.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0058_4.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0058_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0058_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0058_4/alpha.png
0067_2,0.0642892156862745,0.0645239156268568,0.9910912117559267,2.1444547176361084,1.8574274778366089,1.846254825592041,1.846254825592041,0.2981998920440674,0.011172652244567871,0.0,6.053033508696648,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0067.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0067_2.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0067_2/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0067_2/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0067_2/alpha.png
0111_15,0.06264423911157384,0.0627342529932327,0.9934075534379005,1.5859450101852417,1.4547255039215088,1.3544156551361084,1.3544156551361084,0.2315293550491333,0.10030984878540039,0.0,6.049692737210077,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0111.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0111_15.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0111_15/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0111_15/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0111_15/alpha.png
0008_4,0.05967595002602811,0.05959641968881948,0.9937516995498081,1.5206550359725952,1.4503450393676758,1.2138903141021729,1.2138903141021729,0.30676472187042236,0.23645472526550293,0.0,6.035189787652244,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0008.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0008_4.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0008_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0008_4/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0008_4/alpha.png
0028_12,0.05879670643357745,0.05890079927553351,0.9912197071570419,2.2643609046936035,2.2585058212280273,2.233266830444336,2.233266830444336,0.031094074249267578,0.025238990783691406,0.0,5.94357896710818,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/img/0028.png,/home/lpy/anisorisk/computer_vison/datasets/MicroMat3K_hf/MicroMat3K/matte/coarse/0028_12.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_bbox_default/0028_12/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox/0028_12/alpha.png,/tmp/lpy_promptmatte/claim_hardened_zim_ensemble_20260602_125815/outputs/all_valid_fixed/zim_vitb_flip_tta_bbox_guided_r1/0028_12/alpha.png
